举办日期,主题,URL,主办方,举办地址,门票费用（元）,参会人数
2018-10-17 13:30至2018-10-17 17:00,亚马逊课程试听，免费对接亚马逊招商经理开店,http://www.hdb.com/party/2ey22.html,悟空跨境电商学院—Jason,广东深圳龙华新区民治1980文化创意产业园一期E栋3楼,0.0,627
2018-10-20 19:30至2018-10-20 20:30,亚马逊高阶特训营——来自于傲基、通拓、有棵树等资深大咖亲自传授,http://www.hdb.com/party/leqzb.html,悟空电商学院-贺小姐,广东深圳龙华新区民治街道1980文化创意产业园一期E栋308,0.0,660
2018-10-19 13:00至2018-10-19 17:30,2018 亚马逊Listing霸屏科技及广告爆单大课-( 旺季爆单必备)10月19号,http://www.hdb.com/party/jd1m2.html,百聚汇,广东深圳福田区赛格广场12楼,0.0 ~ 50.0,323
2018-10-19 13:30至2018-10-19 18:00,亚马逊引爆流量---N种站内站外引流技巧（深圳10月19日）,http://www.hdb.com/party/ucao2.html,百聚汇,广东深圳福田区赛格广场12楼,0.0,560
2018-10-27 13:30至2018-10-27 17:00,跨境电商Amazon亚马逊中东SOUQ官方注册及解析，数量有限仅限前8名！,http://www.hdb.com/party/yj1v2.html,深圳领路人跨境电商技术有限公司,广东深圳龙华新区10月27日在深圳清湖龙华汽车站硅谷大院A栋8号会议室,0.0 ~ 5.88,530
2018-10-27 13:30至2018-10-27 17:00,抓住跨境电商机会，跨境电商Amazon亚马逊中东SOUQ官方注册及解析！,http://www.hdb.com/party/b0nh2.html,领路人亚马逊培训,广东深圳龙华新区清湖龙华汽车站硅谷大院A栋8号会议室,0.0 ~ 5.88,66
2018-06-15 09:00至2018-12-31 17:00,深圳616跨境电商节-第三届深圳国际跨境电商贸易博览会,http://www.hdb.com/party/28fm2.html,U选U品 uxup.cn,广东深圳福田区会展中心2号馆,0.0 ~ 15000.0,645
2018-10-18 10:00至2018-10-21 11:00,免费亚马逊选品 站内优化流量引入 关键词排名ppc广告引流提高销量分享课程,http://www.hdb.com/party/b8p12.html,深圳市喜课科技有限公司,广东深圳龙华新区深圳市宏宇大厦,0.0,145
2018-10-19 09:00至2018-10-20 17:00,2018CCEE(深圳)雨果网跨境电商选品大会,http://www.hdb.com/party/tmiv2.html,跨境电商雨果网,广东深圳福田区大中华国际交易广场1F,0.0,933
2018-10-19 13:00至2018-10-19 17:30,跨境电商 — 2018亚马逊旺季大卖交流会(10月19号）,http://www.hdb.com/party/lqkk2.html,百聚汇,广东深圳福田区赛格广场12楼,0.0 ~ 9.9,263
